Incarceration rates in selected countries 2024,
"Countries with the largest number of prisoners per 100,000 of the national population, as of January 2024",
,
El Salvador,"1,086"
Cuba,794
Rwanda,637
Turkmenistan,576
American Samoa,538
United States,531
Panama,499
Guam,475
Palau,428
Uruguay,424
Seychelles,413
Bahamas,409
Turkey,400
Brazil,390
Thailand,377
Virgin Islands (UK),368
Cabo Verde,366
St. Vincent and the Grenadines,353
Dominica,348
Virgin Islands (U.S.),345
Belarus,345
Grenada,335
Nicaragua,332
Namibia,318
Maldives,314
French Guiana,305
Costa Rica,301
Russian Federation,300
St. Kitts and Nevis,296
Belize,289
